Rk,Player,Pos,"Squad
▲",Age,Born,90s,"SCA
▼",SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA
1,Manuela Zinsberger,GK,Arsenal,23,1995,12,1,0.08,1,0,0,0,0,0,1,0.08,1,0,0,0,0,0
2,Leah Williamson,"DF,MF",Arsenal,22,1997,14.3,26,1.81,25,0,1,0,0,0,7,0.49,7,0,0,0,0,0
3,Lia Wälti,MF,Arsenal,26,1993,8.8,13,1.47,12,0,0,0,0,1,6,0.68,6,0,0,0,0,0
4,Viktoria Schnaderbeck,DF,Arsenal,28,1991,9.7,5,0.51,5,0,0,0,0,0,3,0.31,3,0,0,0,0,0
5,Jill Roord,"MF,FW",Arsenal,22,1997,9.4,32,3.4,26,0,3,2,0,1,4,0.42,4,0,0,0,0,0
6,Louise Quinn,DF,Arsenal,29,1990,2.9,2,0.68,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0
7,Pauline Peyraud-Magnin,GK,Arsenal,27,1992,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Jordan Nobbs,"MF,FW",Arsenal,26,1992,11.5,38,3.3,37,0,0,0,1,0,6,0.52,6,0,0,0,0,0
9,Emma Mitchell,DF,Arsenal,26,1992,0.4,3,7.94,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Vivianne Miedema,FW,Arsenal,23,1996,13.6,47,3.45,36,2,3,5,0,1,11,0.81,9,0,1,1,0,0
11,Beth Mead,FW,Arsenal,24,1995,10.8,54,4.98,29,13,6,2,4,0,8,0.74,7,0,0,1,0,0
12,Katie McCabe,DF,Arsenal,23,1995,11.6,27,2.32,21,2,2,0,2,0,1,0.09,1,0,0,0,0,0
13,Leonie Maier,DF,Arsenal,26,1992,7.6,10,1.31,7,2,0,0,0,1,4,0.53,3,0,0,0,0,1
14,Kim Little,MF,Arsenal,29,1990,11.7,41,3.5,31,6,2,1,1,0,8,0.68,6,0,0,1,1,0
15,Melisa Filis,FW,Arsenal,17,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Lisa Evans,"FW,DF",Arsenal,27,1992,14.1,43,3.05,40,2,1,0,0,0,8,0.57,8,0,0,0,0,0
17,Daniëlle van de Donk,"FW,MF",Arsenal,27,1991,14.2,39,2.75,33,0,2,3,1,0,6,0.42,6,0,0,0,0,0
18,Jennifer Beattie,DF,Arsenal,28,1991,9.1,9,0.99,8,0,0,1,0,0,1,0.11,1,0,0,0,0,0
19,Rachel Williams,FW,Birmingham City,31,1988,9,24,2.66,18,1,2,1,1,1,1,0.11,0,0,0,1,0,0
20,Lucy Whipp,"MF,FW",Birmingham City,23,1995,10.5,11,1.05,10,0,0,0,0,1,0,0,0,0,0,0,0,0
21,Claudia Walker,"FW,MF",Birmingham City,23,1996,10,14,1.4,11,0,2,1,0,0,1,0.1,1,0,0,0,0,0
22,Brianna Visalli,"MF,FW",Birmingham City,24,1995,6.9,11,1.58,7,0,2,2,0,0,0,0,0,0,0,0,0,0
23,Lucy Staniforth,MF,Birmingham City,26,1992,10,46,4.6,26,10,6,1,2,1,4,0.4,2,1,0,0,1,0
24,Lily Simkin,DF,Birmingham City,15,2003,4.6,6,1.3,4,0,2,0,0,0,0,0,0,0,0,0,0,0
25,Harriet Scott,DF,Birmingham City,26,1993,8.8,7,0.79,4,1,1,0,1,0,0,0,0,0,0,0,0,0
26,Connie Scofield,"MF,FW",Birmingham City,20,1999,4.1,2,0.49,2,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Emma Rose Kelly,"MF,FW",Birmingham City,22,1997,1.3,3,2.39,1,0,1,1,0,0,0,0,0,0,0,0,0,0
28,Sarah Mayling,"DF,FW",Birmingham City,22,1997,8,16,2,14,1,1,0,0,0,0,0,0,0,0,0,0,0
29,Adrienne Jordan,DF,Birmingham City,25,1994,13,19,1.46,14,1,3,0,0,1,0,0,0,0,0,0,0,0
30,Rebecca Holloway,DF,Birmingham City,23,1995,10.8,6,0.55,5,1,0,0,0,0,0,0,0,0,0,0,0,0
31,Kerys Harrop,DF,Birmingham City,28,1990,6.2,9,1.46,8,0,1,0,0,0,1,0.16,0,0,1,0,0,0
32,Hannah Hampton,GK,Birmingham City,18,2000,13,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Freya Gregory,FW,Birmingham City,16,2003,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Abbi Grant,"FW,MF",Birmingham City,23,1995,11.9,32,2.69,22,2,2,5,1,0,0,0,0,0,0,0,0,0
35,Georgia Brougham,DF,Birmingham City,23,1996,2,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0
36,Laura Blindkilde,FW,Birmingham City,15,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Chloe Arthur,MF,Birmingham City,24,1995,11.9,22,1.86,16,0,2,0,2,2,0,0,0,0,0,0,0,0
38,Victoria Williams,DF,Brighton,29,1990,11.1,3,0.27,2,0,0,1,0,0,0,0,0,0,0,0,0,0
39,Fern Whelan,DF,Brighton,30,1988,2.9,2,0.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Aileen Whelan,"MF,FW",Brighton,27,1991,15.8,29,1.83,15,0,4,6,2,2,2,0.13,1,0,0,1,0,0
