Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Manuela Zinsberger,GK,Arsenal,23,1995,12,1,0,0,2,2,0,0,0,0,0,1,0,22,2,0,100
2,Leah Williamson,"DF,MF",Arsenal,22,1997,14.3,0,0,0,2,10,0,3,17,4,0,0,0,124,22,13,62.9
3,Lia Wälti,MF,Arsenal,26,1993,8.8,1,0,0,8,13,0,5,7,22,0,0,0,72,8,7,53.3
4,Viktoria Schnaderbeck,DF,Arsenal,28,1991,9.7,1,0,0,2,1,0,3,7,8,0,0,0,70,9,5,64.3
5,Jill Roord,"MF,FW",Arsenal,22,1997,9.4,4,0,0,18,6,1,2,4,16,0,0,0,62,8,15,34.8
6,Louise Quinn,DF,Arsenal,29,1990,2.9,0,0,0,2,0,0,0,5,1,0,0,0,20,5,5,50
7,Pauline Peyraud-Magnin,GK,Arsenal,27,1992,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
8,Jordan Nobbs,"MF,FW",Arsenal,26,1992,11.5,0,0,0,2,7,3,18,5,9,0,0,0,59,0,5,0
9,Emma Mitchell,DF,Arsenal,26,1992,0.4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
10,Vivianne Miedema,FW,Arsenal,23,1996,13.6,1,0,0,6,6,7,20,2,5,0,0,0,28,10,17,37
11,Beth Mead,FW,Arsenal,24,1995,10.8,2,0,0,11,31,4,72,5,16,0,0,0,50,11,3,78.6
12,Katie McCabe,DF,Arsenal,23,1995,11.6,4,0,0,9,8,1,26,8,11,0,0,0,68,8,5,61.5
13,Leonie Maier,DF,Arsenal,26,1992,7.6,1,0,0,7,14,0,18,8,16,0,0,0,43,4,5,44.4
14,Kim Little,MF,Arsenal,29,1990,11.7,0,0,0,6,20,3,25,8,11,1,0,0,117,6,6,50
15,Melisa Filis,FW,Arsenal,17,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
16,Lisa Evans,"FW,DF",Arsenal,27,1992,14.1,0,0,0,5,13,3,42,8,9,0,0,0,67,8,3,72.7
17,Daniëlle van de Donk,"FW,MF",Arsenal,27,1991,14.2,2,0,0,6,23,3,23,14,11,0,0,0,68,10,15,40
18,Jennifer Beattie,DF,Arsenal,28,1991,9.1,1,0,0,3,1,0,0,11,5,0,0,0,48,28,7,80
19,Rachel Williams,FW,Birmingham City,31,1988,9,1,0,0,12,7,5,2,4,8,0,0,0,27,30,28,51.7
20,Lucy Whipp,"MF,FW",Birmingham City,23,1995,10.5,0,0,0,0,4,1,4,12,18,0,0,0,64,3,10,23.1
21,Claudia Walker,"FW,MF",Birmingham City,23,1996,10,1,0,0,7,7,2,32,5,7,0,0,0,47,4,16,20
22,Brianna Visalli,"MF,FW",Birmingham City,24,1995,6.9,0,0,0,7,8,0,9,13,10,0,0,0,37,1,11,8.3
23,Lucy Staniforth,MF,Birmingham City,26,1992,10,1,0,0,6,14,0,52,14,6,0,0,0,65,6,3,66.7
24,Lily Simkin,DF,Birmingham City,15,2003,4.6,0,0,0,6,2,0,12,5,5,0,0,0,24,4,6,40
25,Harriet Scott,DF,Birmingham City,26,1993,8.8,1,0,0,15,14,0,5,12,14,0,1,0,61,8,7,53.3
26,Connie Scofield,"MF,FW",Birmingham City,20,1999,4.1,0,0,0,4,7,1,2,3,4,0,0,0,20,1,6,14.3
27,Emma Rose Kelly,"MF,FW",Birmingham City,22,1997,1.3,0,0,0,2,0,0,2,0,1,0,0,0,7,0,2,0
28,Sarah Mayling,"DF,FW",Birmingham City,22,1997,8,0,0,0,3,3,0,29,9,10,0,0,0,50,9,4,69.2
29,Adrienne Jordan,DF,Birmingham City,25,1994,13,0,0,0,5,11,1,13,18,19,0,0,0,99,7,12,36.8
30,Rebecca Holloway,DF,Birmingham City,23,1995,10.8,1,0,0,7,3,0,3,15,15,0,0,0,69,11,4,73.3
31,Kerys Harrop,DF,Birmingham City,28,1990,6.2,2,0,0,7,2,0,3,6,6,0,0,1,61,21,8,72.4
32,Hannah Hampton,GK,Birmingham City,18,2000,13,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,
33,Freya Gregory,FW,Birmingham City,16,2003,0.9,0,0,0,1,0,2,0,1,2,0,0,0,6,0,0,
34,Abbi Grant,"FW,MF",Birmingham City,23,1995,11.9,1,0,0,8,15,4,23,11,11,0,0,0,58,4,14,22.2
35,Georgia Brougham,DF,Birmingham City,23,1996,2,0,0,0,2,0,0,0,3,0,0,0,0,27,1,0,100
36,Laura Blindkilde,FW,Birmingham City,15,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,Chloe Arthur,MF,Birmingham City,24,1995,11.9,1,0,0,14,16,0,3,14,22,0,0,0,101,10,5,66.7
38,Victoria Williams,DF,Brighton,29,1990,11.1,0,0,0,11,1,0,1,18,11,0,0,1,68,19,9,67.9
39,Fern Whelan,DF,Brighton,30,1988,2.9,0,0,0,1,0,0,0,7,2,0,0,0,14,8,0,100
40,Aileen Whelan,"MF,FW",Brighton,27,1991,15.8,2,0,0,14,12,3,18,23,22,1,0,0,89,16,15,51.6
41,Megan Walsh,GK,Brighton,24,1994,15,0,0,0,0,1,0,0,0,0,0,0,1,32,2,0,100
42,Iniabasi Umotong,FW,Brighton,25,1994,7.1,1,0,0,14,10,5,13,4,7,0,0,0,16,23,21,52.3
43,Emily Simpkins,MF,Brighton,29,1990,6.7,0,0,0,4,8,2,1,7,2,0,0,0,30,3,10,23.1
44,Amanda Nildén,"MF,FW",Brighton,20,1998,4.5,1,0,0,6,4,1,7,3,3,0,0,0,21,2,6,25
45,Kate Natkiel,"MF,FW",Brighton,26,1992,4.3,0,0,0,1,2,2,5,4,7,0,0,0,16,3,0,100
46,Matilde Lundorf,"DF,MF",Brighton,20,1999,6.6,3,0,0,14,1,0,10,10,9,0,0,0,36,4,6,40
47,Maya Le Tissier,"DF,MF",Brighton,17,2002,8.8,0,0,0,4,7,0,4,6,11,0,0,0,43,12,9,57.1
48,Léa Le Garrec,"FW,MF",Brighton,26,1993,13.1,3,1,1,32,11,5,72,11,18,0,0,0,102,3,9,25
49,Danique Kerkdijk,DF,Brighton,23,1996,13,3,0,0,7,5,0,1,19,12,0,1,0,56,10,7,58.8
50,Sophie Harris,GK,Brighton,24,1994,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
51,Kayleigh Green,"FW,MF",Brighton,31,1988,14,3,0,0,12,15,9,19,25,17,0,1,0,98,36,38,48.6
52,Felicity Gibbons,DF,Brighton,25,1994,15,1,0,0,14,14,2,32,20,21,0,0,0,109,12,6,66.7
53,Megan Connolly,MF,Brighton,22,1997,6.7,0,0,0,6,7,0,3,14,11,0,0,0,54,9,9,50
54,Danielle Buet,MF,Brighton,30,1988,14.9,4,0,0,20,15,0,11,19,24,0,0,0,114,8,7,53.3
55,Ellie Brazil,"MF,FW",Brighton,20,1999,5,0,0,0,5,2,1,13,6,9,1,0,0,23,1,4,20
56,Kirsty Barton,DF,Brighton,27,1992,10,2,0,0,6,4,1,11,15,8,0,1,0,58,8,5,61.5
57,Megan Wynne,"FW,MF",Bristol City,26,1993,1.4,0,0,0,2,5,0,1,1,0,0,0,0,7,1,3,25
58,Georgia Wilson,"MF,FW",Bristol City,17,2002,4.4,1,0,0,4,2,0,1,2,8,0,0,0,23,3,1,75
59,Charlie Wellings,"FW,MF",Bristol City,21,1998,12.8,0,0,0,8,17,1,9,9,2,1,0,0,53,15,24,38.5
60,Meaghan Sargeant,DF,Bristol City,25,1994,11.7,0,0,0,4,4,1,2,15,7,0,0,0,57,26,9,74.3
61,Ebony Salmon,"FW,MF",Bristol City,18,2001,8.3,1,0,0,6,5,4,19,1,5,0,0,0,27,3,9,25
62,Katie Robinson,"FW,MF",Bristol City,16,2002,3,0,0,0,2,2,2,7,3,3,0,0,0,11,1,15,6.3
63,Kirsten Reilly,FW,Bristol City,23,1995,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,100
64,Poppy Pattinson,DF,Bristol City,19,2000,5.9,2,0,0,4,4,1,5,3,3,0,0,0,31,0,1,0
65,Jasmine Matthews,"DF,MF",Bristol City,26,1993,13,0,0,0,5,1,0,1,18,12,0,0,0,94,23,24,48.9
66,Chloe Logarzo,MF,Bristol City,24,1994,1,0,0,0,2,1,0,0,1,0,0,0,0,3,1,1,50
67,Carla Humphrey,MF,Bristol City,22,1996,7.6,0,0,0,4,9,1,22,11,15,0,0,0,47,3,8,27.3
68,Elise Hughes,"FW,MF",Bristol City,18,2001,1.8,1,0,0,2,1,1,1,0,0,0,0,0,4,11,19,36.7
69,Abigail Harrison,FW,Bristol City,21,1997,3.9,1,0,0,2,4,6,3,3,3,0,0,0,19,3,11,21.4
70,Jeon Ga-eul,"MF,FW",Bristol City,30,1988,1.3,0,0,0,2,1,0,0,0,1,0,0,0,10,0,2,0
71,Gemma Evans,DF,Bristol City,22,1996,11.2,1,0,0,8,9,0,8,17,17,0,1,0,57,19,17,52.8
72,Loren Dykes,DF,Bristol City,31,1988,9.3,0,0,0,4,3,0,4,12,11,0,1,0,41,6,7,46.2
73,Vita van der Linden,MF,Bristol City,22,1997,0.6,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,
74,Yana Daniels,"MF,FW",Bristol City,27,1992,13,1,0,0,25,28,0,22,15,17,1,1,0,90,28,41,40.6
75,Maisy Collis,DF,Bristol City,19,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,Olivia Chance,MF,Bristol City,25,1993,11.3,1,0,0,11,2,0,11,5,6,0,0,0,57,2,7,22.2
77,Faye Bryson,DF,Bristol City,22,1997,2.3,1,0,0,1,3,0,5,5,5,0,0,0,20,2,3,40
78,Frankie Brown,"MF,DF",Bristol City,31,1987,12.7,2,0,0,9,5,0,2,12,7,0,0,0,67,14,10,58.3
79,Sophie Baggaley,GK,Bristol City,22,1996,14,0,0,0,0,5,0,0,0,0,0,0,0,26,5,1,83.3
80,Flo Allen,DF,Bristol City,19,1999,3,0,0,0,0,3,1,2,3,2,0,0,0,13,1,1,50
81,Maria Thorisdottir,MF,Chelsea,26,1993,0.8,0,0,0,1,0,1,1,2,1,0,0,0,5,5,2,71.4
82,Carly Telford,GK,Chelsea,32,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100
83,Drew Spence,"MF,FW",Chelsea,26,1992,7,1,0,0,8,4,1,1,6,8,0,0,0,59,5,8,38.5
84,Ji So-yun,MF,Chelsea,28,1991,11.1,1,0,0,11,10,3,9,16,13,0,0,0,90,16,9,64
85,Guro Reiten,"MF,FW",Chelsea,25,1994,13.4,0,0,0,6,16,5,92,11,15,0,0,0,63,9,12,42.9
86,Jamie-Lee Napier,"MF,DF",Chelsea,19,2000,0.2,0,0,0,3,0,1,0,0,0,0,0,0,2,1,2,33.3
87,Emily Murphy,"MF,FW",Chelsea,16,2003,0.3,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,
88,Maren Mjelde,"DF,MF",Chelsea,29,1989,14,1,0,0,9,12,0,38,10,10,0,0,0,74,11,16,40.7
89,Fran Kirby,"FW,MF",Chelsea,26,1993,2.2,0,0,0,1,2,2,3,0,1,1,0,0,12,0,5,0
90,Sam Kerr,FW,Chelsea,25,1993,3.3,0,0,0,1,2,3,5,2,2,0,0,0,13,5,2,71.4
91,Sophie Ingle,MF,Chelsea,27,1991,14,1,0,0,18,5,0,9,9,15,0,1,0,108,28,10,73.7
92,Magdalena Eriksson,DF,Chelsea,25,1993,14,1,0,0,14,2,0,2,15,7,0,0,0,91,41,19,68.3
93,Adelina Engman,"FW,MF",Chelsea,24,1994,0.9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,100
94,Bethany England,FW,Chelsea,25,1994,14.7,0,0,0,8,9,12,23,1,3,0,0,0,56,21,31,40.4
95,Erin Cuthbert,"MF,FW",Chelsea,21,1998,11.9,2,0,0,18,22,4,100,12,21,0,0,0,82,13,16,44.8
96,Deanna Cooper,DF,Chelsea,26,1993,0.3,0,0,0,0,1,0,1,0,1,0,0,0,1,2,0,100
97,Jess Carter,"DF,MF",Chelsea,21,1997,1.9,1,0,0,3,4,0,2,3,2,0,0,0,15,3,5,37.5
98,Millie Bright,DF,Chelsea,25,1993,15,2,0,0,9,4,0,7,27,13,0,0,0,86,41,14,74.5
99,Hannah Blundell,DF,Chelsea,25,1994,4.6,0,0,0,0,5,0,12,8,5,0,0,0,37,1,2,33.3
100,Ann-Katrin Berger,GK,Chelsea,28,1990,13,0,0,0,0,5,0,0,0,0,0,0,0,18,3,1,75
101,Ramona Bachmann,"FW,MF",Chelsea,28,1990,6.3,0,0,0,9,5,3,21,1,8,0,0,0,43,0,5,0
102,Jonna Andersson,DF,Chelsea,26,1993,14.1,0,0,0,7,3,1,53,16,16,0,0,0,80,11,16,40.7
103,Danielle Turner,DF,Everton,28,1991,14,0,0,0,15,10,0,30,37,27,0,0,0,97,26,24,52
104,Abbey-Leigh Stringer,MF,Everton,24,1995,5.6,3,0,0,15,1,0,1,10,9,0,0,0,36,7,8,46.7
105,Molly Pike,MF,Everton,18,2001,6.3,0,0,0,8,6,1,4,8,7,0,0,0,33,5,6,45.5
