Rk,Player,Pos,"Squad
▲",Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Manuela Zinsberger,GK,Arsenal,23,1995,12,538,415,122,19,0,0,0,0,0,0,0,0,435,1,0
2,Leah Williamson,"DF,MF",Arsenal,22,1997,14.3,1222,1159,61,30,2,21,3,31,0,0,0,0,1043,2,5
3,Lia Wälti,MF,Arsenal,26,1993,8.8,569,553,14,11,1,0,5,2,1,1,0,0,472,2,10
4,Viktoria Schnaderbeck,DF,Arsenal,28,1991,9.7,758,701,56,5,1,0,3,51,0,0,0,0,665,1,6
5,Jill Roord,"MF,FW",Arsenal,22,1997,9.4,497,485,11,4,1,5,2,1,1,0,0,0,436,1,6
6,Louise Quinn,DF,Arsenal,29,1990,2.9,248,243,5,3,0,0,0,2,0,0,0,0,213,0,1
7,Pauline Peyraud-Magnin,GK,Arsenal,27,1992,3,138,123,15,3,0,0,0,0,0,0,0,0,116,0,0
8,Jordan Nobbs,"MF,FW",Arsenal,26,1992,11.5,658,652,4,0,4,1,18,1,2,0,2,0,548,2,7
9,Emma Mitchell,DF,Arsenal,26,1992,0.4,45,43,2,0,0,0,3,2,0,0,0,0,40,0,2
10,Vivianne Miedema,FW,Arsenal,23,1996,13.6,364,339,24,0,3,5,20,3,2,0,0,0,271,1,13
11,Beth Mead,FW,Arsenal,24,1995,10.8,522,448,72,14,4,2,72,5,51,13,5,16,357,2,8
12,Katie McCabe,DF,Arsenal,23,1995,11.6,913,732,179,21,0,2,26,154,4,1,0,0,738,2,12
13,Leonie Maier,DF,Arsenal,26,1992,7.6,568,454,114,9,0,0,18,105,0,0,0,0,429,0,15
14,Kim Little,MF,Arsenal,29,1990,11.7,746,696,47,26,4,0,25,0,21,2,1,5,639,3,9
15,Melisa Filis,FW,Arsenal,17,2002,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1
16,Lisa Evans,"FW,DF",Arsenal,27,1992,14.1,864,752,108,6,1,2,42,99,3,0,0,0,668,4,17
17,Daniëlle van de Donk,"FW,MF",Arsenal,27,1991,14.2,640,619,18,9,6,1,23,8,1,0,0,0,494,3,13
18,Jennifer Beattie,DF,Arsenal,28,1991,9.1,851,840,10,10,0,7,0,0,0,0,0,0,769,1,2
19,Rachel Williams,FW,Birmingham City,31,1988,9,230,203,27,1,1,2,2,9,0,0,0,0,162,0,6
20,Lucy Whipp,"MF,FW",Birmingham City,23,1995,10.5,323,316,6,1,0,1,4,3,1,0,0,0,257,1,2
21,Claudia Walker,"FW,MF",Birmingham City,23,1996,10,221,207,14,1,0,1,32,3,0,0,0,0,129,0,21
22,Brianna Visalli,"MF,FW",Birmingham City,24,1995,6.9,199,190,7,1,0,1,9,2,4,2,0,0,139,2,3
23,Lucy Staniforth,MF,Birmingham City,26,1992,10,524,437,83,36,0,13,52,2,45,11,10,10,374,4,8
24,Lily Simkin,DF,Birmingham City,15,2003,4.6,192,130,62,0,0,1,12,62,0,0,0,0,112,0,4
25,Harriet Scott,DF,Birmingham City,26,1993,8.8,410,365,44,9,0,1,5,35,0,0,0,0,302,1,7
26,Connie Scofield,"MF,FW",Birmingham City,20,1999,4.1,128,115,12,0,0,1,2,4,1,0,0,0,98,1,3
27,Emma Rose Kelly,"MF,FW",Birmingham City,22,1997,1.3,44,43,1,0,1,1,2,1,0,0,0,0,27,0,3
28,Sarah Mayling,"DF,FW",Birmingham City,22,1997,8,429,338,91,6,0,1,29,78,7,4,2,0,313,0,15
29,Adrienne Jordan,DF,Birmingham City,25,1994,13,642,451,189,3,0,2,13,185,1,1,0,0,460,2,15
