Rk,Player,Pos,"Squad
▲",Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Manuela Zinsberger,GK,Arsenal,23,1995,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2,Leah Williamson,"DF,MF",Arsenal,22,1997,14.3,1,8,2,25,0.56,0.14,0.13,0.5,14.9,0,0,0,1,1,0.13,0,0
3,Lia Wälti,MF,Arsenal,26,1993,8.8,0,2,0,0,0.23,0,0,,19.4,0,0,0,0.2,0.2,0.11,-0.2,-0.2
4,Viktoria Schnaderbeck,DF,Arsenal,28,1991,9.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
5,Jill Roord,"MF,FW",Arsenal,22,1997,9.4,2,20,7,35,2.12,0.74,0.1,0.29,17.4,0,0,0,2.6,2.6,0.13,-0.6,-0.6
6,Louise Quinn,DF,Arsenal,29,1990,2.9,0,1,0,0,0.34,0,0,,3.8,0,0,0,0.1,0.1,0.1,-0.1,-0.1
7,Pauline Peyraud-Magnin,GK,Arsenal,27,1992,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
8,Jordan Nobbs,"MF,FW",Arsenal,26,1992,11.5,5,29,12,41.4,2.52,1.04,0.17,0.42,16.6,1,0,0,3.1,3.1,0.11,1.9,1.9
9,Emma Mitchell,DF,Arsenal,26,1992,0.4,1,2,1,50,5.29,2.65,0.5,1,13,0,0,0,0.6,0.6,0.3,0.4,0.4
10,Vivianne Miedema,FW,Arsenal,23,1996,13.6,16,56,26,46.4,4.11,1.91,0.29,0.62,13.7,0,0,0,10.5,10.5,0.2,5.5,5.5
11,Beth Mead,FW,Arsenal,24,1995,10.8,3,31,12,38.7,2.86,1.11,0.1,0.25,19.6,1,0,0,2.9,2.9,0.09,0.1,0.1
12,Katie McCabe,DF,Arsenal,23,1995,11.6,0,13,2,15.4,1.12,0.17,0,0,17,0,0,0,0.7,0.7,0.05,-0.7,-0.7
13,Leonie Maier,DF,Arsenal,26,1992,7.6,0,5,2,40,0.66,0.26,0,0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2
14,Kim Little,MF,Arsenal,29,1990,11.7,5,13,8,61.5,1.11,0.68,0.31,0.5,15.6,1,1,1,3.3,2.5,0.19,1.7,1.5
15,Melisa Filis,FW,Arsenal,17,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
16,Lisa Evans,"FW,DF",Arsenal,27,1992,14.1,2,13,5,38.5,0.92,0.36,0.15,0.4,12.8,0,0,0,2.5,2.5,0.2,-0.5,-0.5
17,Daniëlle van de Donk,"FW,MF",Arsenal,27,1991,14.2,5,21,9,42.9,1.48,0.63,0.24,0.56,12.7,1,0,0,5.4,5.4,0.26,-0.4,-0.4
18,Jennifer Beattie,DF,Arsenal,28,1991,9.1,0,7,0,0,0.77,0,0,,8.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6
19,Rachel Williams,FW,Birmingham City,31,1988,9,0,16,2,12.5,1.77,0.22,0,0,16.1,0,0,0,1,1,0.06,-1,-1
20,Lucy Whipp,"MF,FW",Birmingham City,23,1995,10.5,1,6,3,50,0.57,0.29,0.17,0.33,22.1,0,0,0,0.3,0.3,0.05,0.7,0.7
21,Claudia Walker,"FW,MF",Birmingham City,23,1996,10,0,24,8,33.3,2.4,0.8,0,0,21.5,0,0,0,1.2,1.2,0.05,-1.2,-1.2
22,Brianna Visalli,"MF,FW",Birmingham City,24,1995,6.9,0,11,4,36.4,1.59,0.58,0,0,21.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5
23,Lucy Staniforth,MF,Birmingham City,26,1992,10,1,26,12,46.2,2.6,1.2,0.04,0.08,28.2,3,0,0,1,1,0.04,0,0
24,Lily Simkin,DF,Birmingham City,15,2003,4.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
25,Harriet Scott,DF,Birmingham City,26,1993,8.8,0,2,1,50,0.23,0.11,0,0,22.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
26,Connie Scofield,"MF,FW",Birmingham City,20,1999,4.1,0,3,0,0,0.73,0,0,,22.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
27,Emma Rose Kelly,"MF,FW",Birmingham City,22,1997,1.3,0,2,0,0,1.58,0,0,,19.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
28,Sarah Mayling,"DF,FW",Birmingham City,22,1997,8,0,5,2,40,0.62,0.25,0,0,16.6,1,0,0,0.4,0.4,0.07,-0.4,-0.4
29,Adrienne Jordan,DF,Birmingham City,25,1994,13,0,2,2,100,0.15,0.15,0,0,20.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2
30,Rebecca Holloway,DF,Birmingham City,23,1995,10.8,0,3,1,33.3,0.28,0.09,0,0,27.3,1,0,0,0.1,0.1,0.04,-0.1,-0.1
31,Kerys Harrop,DF,Birmingham City,28,1990,6.2,1,6,1,16.7,0.97,0.16,0.17,1,16.1,0,0,0,0.3,0.3,0.05,0.7,0.7
32,Hannah Hampton,GK,Birmingham City,18,2000,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
33,Freya Gregory,FW,Birmingham City,16,2003,0.9,0,1,0,0,1.06,0,0,,24.5,0,0,0,0,0,0.03,0,0
34,Abbi Grant,"FW,MF",Birmingham City,23,1995,11.9,2,21,7,33.3,1.77,0.59,0.1,0.29,18.9,0,0,0,1.5,1.5,0.07,0.5,0.5
35,Georgia Brougham,DF,Birmingham City,23,1996,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
36,Laura Blindkilde,FW,Birmingham City,15,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
37,Chloe Arthur,MF,Birmingham City,24,1995,11.9,0,9,2,22.2,0.76,0.17,0,0,34.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
