Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_T/O,Succ_T/O,Succ%_T/O,Tkld_T/O,Tkld%_T/O,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,"PrgR
▼"
1,Manuela Zinsberger,GK,Arsenal,24,1995,13,679,475,673,4,2,1,679,0,0,,0,,412,1570,774,1,1,1,2,0,454,1
2,Lotte Wubben-Moy,DF,Arsenal,21,1999,12.5,1116,91,553,493,81,19,1116,14,8,57.1,6,42.9,611,3084,1899,11,4,0,9,12,783,10
3,Leah Williamson,DF,Arsenal,23,1997,18.6,1839,195,926,803,128,21,1839,7,6,85.7,1,14.3,1134,6062,4154,30,15,1,11,9,1389,10
4,Lydia Williams,GK,Arsenal,32,1988,9,378,259,365,10,3,1,378,0,0,,0,,211,810,482,0,0,0,1,0,233,1
5,Lia Wälti,"MF,DF",Arsenal,27,1993,17.4,1384,46,471,792,132,2,1384,15,14,93.3,1,6.7,771,3986,2014,10,16,1,6,27,1002,11
6,Viktoria Schnaderbeck,DF,Arsenal,29,1991,5.1,393,31,197,156,40,1,393,5,3,60,2,40,211,904,487,5,1,0,2,5,274,10
7,Jill Roord,"MF,FW",Arsenal,23,1997,14.6,745,5,94,324,331,66,745,16,11,68.8,5,31.3,453,2084,647,16,15,8,39,33,577,70
8,Anna Patten,DF,Arsenal,21,1999,2.3,160,8,44,65,52,1,160,4,3,75,1,25,61,340,145,1,3,0,5,5,88,12
9,Jordan Nobbs,"FW,MF",Arsenal,27,1992,11.6,737,2,61,294,388,65,737,8,4,50,4,50,410,2032,822,28,20,8,24,14,588,126
10,Vivianne Miedema,FW,Arsenal,24,1996,20.7,855,12,51,270,539,171,855,54,28,51.9,26,48.1,543,3497,1281,50,26,42,53,50,704,168
11,Beth Mead,FW,Arsenal,25,1995,18.4,957,8,93,289,582,87,957,43,20,46.5,23,53.5,519,2938,1486,60,32,33,43,39,684,211
12,Katie McCabe,DF,Arsenal,24,1995,19.3,1673,30,488,648,552,44,1673,32,16,50,16,50,756,3852,1895,41,30,8,38,21,999,120
13,Noelle Maritz,DF,Arsenal,24,1995,9.4,704,9,206,309,191,16,704,13,7,53.8,6,46.2,306,1545,785,20,16,4,9,12,423,59
14,Leonie Maier,DF,Arsenal,27,1992,5.6,412,11,124,161,127,11,412,3,1,33.3,2,66.7,176,720,378,6,5,1,9,8,231,25
15,Ruby Mace,"FW,MF",Arsenal,16,2003,0.3,30,2,11,19,1,0,30,0,0,,0,,18,69,40,0,0,0,0,0,22,1
16,Kim Little,MF,Arsenal,30,1990,14.1,781,30,173,392,227,38,778,12,11,91.7,1,8.3,397,2181,860,16,18,6,25,16,530,59
17,Malin Gut,MF,Arsenal,19,2000,7.5,482,8,116,270,102,8,482,6,4,66.7,2,33.3,282,1235,643,7,15,1,10,5,360,11
18,Caitlin Foord,FW,Arsenal,25,1994,14.6,505,1,62,183,266,76,505,31,14,45.2,17,54.8,316,1800,784,24,10,14,30,25,397,122
19,Lisa Evans,"DF,FW",Arsenal,28,1992,5.2,319,6,84,108,132,23,319,5,3,60,2,40,154,705,375,10,8,5,2,9,203,42
20,Daniëlle van de Donk,"MF,FW",Arsenal,28,1991,14,699,14,116,302,289,40,699,11,4,36.4,6,54.5,353,1915,822,18,24,8,21,17,498,72
21,Anouk Denton,FW,Arsenal,17,2003,0,1,0,0,1,0,0,1,0,0,,0,,1,16,0,0,0,0,0,0,1,0
22,Steph Catley,DF,Arsenal,26,1994,2.1,165,12,57,78,30,1,165,4,4,100,0,0,91,537,235,4,4,0,4,1,103,5
23,Jennifer Beattie,DF,Arsenal,29,1991,6.5,587,51,356,219,13,7,587,1,1,100,0,0,367,1484,881,3,0,0,0,4,463,1
24,Amy West,MF,Aston Villa,23,1997,2.4,81,7,27,47,7,0,81,0,0,,0,,28,87,16,0,1,0,4,2,34,1
25,Lisa Weiß,GK,Aston Villa,32,1987,21,777,720,775,1,1,1,777,0,0,,0,,334,2617,1505,1,3,2,2,1,202,0
26,Emily Syme,MF,Aston Villa,20,2000,3,121,6,35,62,28,2,121,6,2,33.3,4,66.7,40,457,291,8,4,1,4,0,57,4
27,Diana Silva,FW,Aston Villa,25,1995,5.8,221,7,43,79,106,22,221,13,5,38.5,8,61.5,139,953,307,13,6,4,19,8,138,42
28,Caroline Siems,DF,Aston Villa,21,1999,10.5,585,29,233,245,113,5,585,15,11,73.3,4,26.7,263,1516,824,17,8,1,14,10,295,23
29,Sian Rogers,GK,Aston Villa,22,1998,1,53,46,52,1,0,0,53,0,0,,0,,22,68,33,0,0,0,0,0,19,0
30,Ramona Petzelberger,"MF,FW",Aston Villa,27,1992,8.8,377,7,79,191,113,13,377,16,10,62.5,6,37.5,188,1015,374,8,8,1,27,12,235,28
31,Elisha N'Dow,DF,Aston Villa,23,1996,17.5,739,137,491,220,35,4,739,4,2,50,2,50,294,1553,900,7,4,2,10,9,311,5
32,Olivia McLoughlin,"MF,DF",Aston Villa,15,2004,6.8,247,18,105,106,38,1,247,7,5,71.4,2,28.6,110,502,153,0,0,0,10,13,82,5
33,Stine Larsen,FW,Aston Villa,24,1996,16.1,540,20,76,263,211,61,539,28,16,57.1,12,42.9,264,1597,587,22,12,12,59,56,341,72
34,Mana Iwabuchi,"MF,FW",Aston Villa,27,1993,10.9,456,6,97,211,159,17,456,31,15,48.4,16,51.6,255,1717,622,20,10,5,43,29,270,35
35,Jodie Hutton,"DF,FW",Aston Villa,19,2001,11.7,506,42,224,174,116,7,506,9,5,55.6,4,44.4,176,856,461,9,10,2,23,6,191,18
36,Sophie Haywood,"MF,DF",Aston Villa,24,1996,3.6,172,12,66,69,38,6,172,16,4,25,12,75,99,558,229,3,1,3,9,13,104,15
37,Shania Hayles,"FW,MF",Aston Villa,20,1999,10.6,246,3,23,112,115,36,246,11,8,72.7,2,18.2,140,1007,524,22,7,12,29,13,165,53
38,Nadine Hanssen,"MF,FW",Aston Villa,26,1993,9.3,341,15,72,165,111,9,341,9,5,55.6,4,44.4,143,732,288,6,8,0,26,8,197,24
39,Natalie Haigh,DF,Aston Villa,20,1999,17.4,706,141,531,165,15,3,706,1,1,100,0,0,284,1502,762,2,3,1,10,6,307,3
40,Freya Gregory,"MF,DF",Aston Villa,17,2003,4.2,155,7,37,70,48,3,155,8,3,37.5,5,62.5,65,357,121,4,1,0,13,8,68,9
41,Ella Franklin-Fraiture,DF,Aston Villa,23,1997,9.4,530,32,230,204,102,5,530,12,9,75,3,25,231,1336,518,10,6,0,21,10,227,18
42,Emma Follis,"FW,MF",Aston Villa,28,1992,8.1,315,4,52,125,145,20,315,21,10,47.6,11,52.4,185,1360,484,21,11,10,23,27,197,58
43,Marisa Ewers,"MF,DF",Aston Villa,31,1989,14.5,606,41,225,328,56,5,606,3,2,66.7,1,33.3,240,1058,352,4,1,0,18,10,317,4
44,Anita Asante,"DF,MF",Aston Villa,35,1985,18.4,708,98,433,240,46,4,708,12,9,75,3,25,332,1698,897,3,6,1,19,9,324,2
45,Chloe Arthur,MF,Aston Villa,25,1995,14.7,598,44,166,321,120,9,598,34,26,76.5,8,23.5,278,1520,497,7,6,0,27,16,287,20
46,Asmita Ale,DF,Aston Villa,18,2001,16.2,986,57,429,388,180,6,986,11,3,27.3,8,72.7,370,1635,731,16,6,3,23,15,357,30
47,Lucy Whipp,MF,Birmingham City,24,1995,13.9,542,40,187,275,85,5,542,9,3,33.3,6,66.7,189,695,238,3,4,1,23,11,241,11
48,Claudia Walker,FW,Birmingham City,24,1996,20.3,540,15,53,233,265,50,539,29,16,55.2,13,44.8,345,1767,561,25,20,11,73,47,409,104
49,Destiney Toussaint,"MF,FW",Birmingham City,,,0.8,27,0,5,12,10,0,27,0,0,,0,,16,86,20,0,2,0,1,5,15,3
50,Harriet Scott,DF,Birmingham City,27,1993,19.5,880,92,483,259,144,13,880,13,9,69.2,4,30.8,287,1443,688,8,5,2,17,18,334,19
51,Connie Scofield,MF,Birmingham City,21,1999,6.3,238,17,73,100,68,2,238,5,3,60,2,40,123,535,105,2,6,1,22,8,135,14
52,Veatriki Sarri,"MF,FW",Birmingham City,22,1998,0.4,14,0,3,4,7,0,14,1,0,0,1,100,8,80,17,1,0,0,0,1,9,1
53,Emma Rose Kelly,"MF,DF",Birmingham City,23,1997,8.8,274,22,116,114,49,4,274,9,6,66.7,3,33.3,135,648,215,5,3,0,16,18,121,11
54,Jamie-Lee Napier,"MF,FW",Birmingham City,20,2000,16,383,12,106,156,128,13,383,13,7,53.8,6,46.2,189,974,423,11,6,4,31,20,211,40
55,Christie Murray,MF,Birmingham City,30,1990,15.5,671,43,234,344,101,9,670,11,8,72.7,3,27.3,225,827,403,4,8,1,17,14,288,6
56,Emily Murphy,FW,Birmingham City,17,2003,7.6,219,9,48,114,63,10,219,21,11,52.4,9,42.9,101,693,433,18,7,3,21,11,102,22
57,Chloe McCarron,MF,Birmingham City,22,1997,3.3,106,7,34,55,18,0,106,4,3,75,1,25,37,190,79,2,3,0,9,5,48,1
58,Sarah Mayling,"MF,DF",Birmingham City,23,1997,17.4,858,36,260,356,256,13,858,24,11,45.8,13,54.2,277,1199,516,13,14,3,30,25,344,41
59,Ruby Mace,"DF,MF",Birmingham City,16,2003,10.9,423,95,283,123,22,2,423,7,7,100,0,0,122,616,337,1,1,0,6,8,148,0
60,Ruesha Littlejohn,MF,Birmingham City,30,1990,9.9,293,18,74,147,76,9,293,8,4,50,4,50,108,491,232,4,0,1,14,16,149,14
61,Gemma Lawley,DF,Birmingham City,19,2001,2.2,62,14,46,15,3,0,62,0,0,,0,,17,88,34,1,1,0,1,0,17,0
62,Rebecca Holloway,DF,Birmingham City,24,1995,20.1,955,71,481,319,165,7,955,30,16,53.3,14,46.7,317,1882,844,21,13,2,29,19,328,29
63,Hannah Hampton,GK,Birmingham City,19,2000,21,909,754,896,14,0,0,909,0,0,,0,,397,2664,1715,0,1,1,2,0,284,0
64,Mollie Green,MF,Birmingham City,22,1997,10.6,343,23,113,163,71,10,343,10,3,30,7,70,129,503,149,3,3,1,18,7,189,11
65,Abbi Grant,MF,Birmingham City,24,1995,0.4,20,0,2,8,10,2,20,1,0,0,1,100,12,28,8,0,0,0,1,0,11,4
66,Rachel Corsie,DF,Birmingham City,30,1989,7,351,75,266,83,6,4,351,2,0,0,2,100,172,878,476,1,1,0,2,3,195,0
67,Georgia Brougham,DF,Birmingham City,24,1996,19,790,192,561,210,25,7,790,11,4,36.4,7,63.6,370,1937,1071,4,4,1,8,4,416,2
68,Victoria Williams,DF,Brighton,30,1990,15,724,127,474,217,40,13,724,6,5,83.3,1,16.7,305,1534,767,6,3,0,12,3,345,6
69,Aileen Whelan,"FW,MF",Brighton,28,1991,21.8,851,44,202,402,256,46,851,23,12,52.2,11,47.8,349,1551,592,22,9,3,38,22,468,72
70,Megan Walsh,GK,Brighton,25,1994,15,624,487,620,3,1,1,624,0,0,,0,,294,1749,1134,0,0,0,1,0,249,0
71,Maisie Symonds,"MF,FW",Brighton,17,2003,0.3,3,0,0,1,2,0,3,0,0,,0,,4,12,3,0,0,0,1,1,4,1
72,Rebekah Stott,DF,Brighton,27,1993,4.7,266,29,166,94,9,2,266,3,2,66.7,1,33.3,97,541,362,3,2,0,2,0,131,0
73,Emily Simpkins,"MF,FW",Brighton,30,1990,5.9,239,13,57,132,52,9,239,2,2,100,0,0,94,478,216,5,1,1,11,2,132,11
74,Bethan Roe,DF,Brighton,20,1999,2.4,146,8,55,58,33,7,146,3,1,33.3,2,66.7,53,168,71,2,1,1,4,3,61,13
75,Katie Robinson,FW,Brighton,17,2002,0.7,23,0,1,9,13,2,23,0,0,,0,,14,82,27,1,1,1,2,5,19,5
76,Denise O'Sullivan,"MF,FW",Brighton,26,1994,8.5,362,15,89,186,92,13,362,12,6,50,6,50,170,736,256,6,3,1,17,16,201,19
77,Maya Le Tissier,DF,Brighton,18,2002,22,1257,104,611,463,188,7,1257,10,5,50,5,50,466,2286,1149,15,11,1,23,14,588,34
78,Emma Koivisto,"DF,MF",Brighton,25,1994,8.5,516,35,241,175,102,10,516,8,4,50,4,50,201,949,377,6,4,1,21,26,222,21
79,Danique Kerkdijk,DF,Brighton,24,1996,16.8,746,115,511,233,3,0,746,1,1,100,0,0,326,1326,851,1,0,0,5,3,379,0
80,Inessa Kaagman,"MF,FW",Brighton,24,1996,21.1,909,24,173,403,337,37,905,10,4,40,6,60,403,1579,526,16,12,6,38,20,534,83
81,Rianna Jarrett,FW,Brighton,21,1999,8.2,248,8,28,98,123,22,248,7,4,57.1,3,42.9,136,705,250,12,2,6,18,22,169,54
82,Nora Heroum,"FW,MF",Brighton,26,1994,5,160,2,39,78,44,5,160,1,1,100,0,0,87,283,85,0,2,0,7,2,106,15
83,Kayleigh Green,"FW,MF",Brighton,32,1988,13,546,24,131,243,186,36,546,13,4,30.8,9,69.2,249,1179,425,14,10,3,32,16,313,70
84,Felicity Gibbons,DF,Brighton,26,1994,12.1,657,37,296,250,116,12,657,4,1,25,3,75,234,1012,355,7,7,1,13,8,292,27
85,Lee Geum-min,FW,Brighton,26,1994,11.5,434,4,43,208,187,29,434,10,4,40,6,60,265,1186,414,12,9,4,40,23,331,69
86,Cecilie Fiskerstrand,GK,Brighton,24,1996,7,306,253,306,0,0,0,306,0,0,,0,,158,956,586,0,0,0,0,0,117,0
87,Megan Connolly,"MF,DF",Brighton,23,1997,13.7,590,36,182,306,106,7,589,9,5,55.6,4,44.4,176,609,258,7,5,0,27,11,259,20
88,Danielle Buet,"MF,DF",Brighton,31,1988,11.5,494,38,179,253,70,4,494,6,5,83.3,1,16.7,199,829,336,3,4,1,10,9,271,8
89,Ellie Brazil,"FW,MF",Brighton,21,1999,13.6,529,16,116,219,203,37,529,12,3,25,9,75,259,1400,633,27,18,12,41,34,322,78
90,Kirsty Barton,DF,Brighton,28,1992,0.9,36,1,12,18,6,1,36,0,0,,0,,9,30,14,0,0,0,2,1,15,1
91,Libby Bance,"MF,FW",Brighton,17,2003,2.6,75,14,37,25,16,0,75,6,2,33.3,4,66.7,37,238,40,1,0,0,3,4,32,1
92,Jessica Wooley,FW,Bristol City,19,2001,0,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0
93,Georgia Wilson,MF,Bristol City,18,2002,0.2,4,0,3,2,0,0,4,0,0,,0,,2,7,0,0,0,0,0,0,2,0
94,Charlie Wellings,"MF,FW",Bristol City,22,1998,16.2,465,15,84,198,188,30,465,19,6,31.6,13,68.4,199,1049,385,9,5,5,30,21,287,69
95,Kiera Skeels,"DF,MF",Bristol City,19,2001,9.1,352,53,186,149,20,2,352,1,1,100,0,0,106,465,191,1,2,0,7,5,131,2
96,Meaghan Sargeant,DF,Bristol City,26,1994,2.8,106,29,70,33,3,2,106,0,0,,0,,21,107,81,0,0,0,0,1,30,0
