Rk,Player,Pos,"Squad
▲",Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_exp,npxG_exp,xAG_exp,npxG+xAG_exp,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
1,Manuela Zinsberger,GK,Arsenal,25,1995,20,20,"1,800",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Lotte Wubben-Moy,DF,Arsenal,22,1999,17,13,"1,210",13.4,2,2,4,2,0,0,1,0,1,1,0.3,1.2,8,87,6,0.15,0.15,0.3,0.15,0.3,0.07,0.02,0.09,0.07,0.09
3,Leah Williamson,DF,Arsenal,24,1997,18,17,"1,452",16.1,2,3,5,2,0,0,1,0,0.8,0.8,1,1.8,24,147,6,0.12,0.19,0.31,0.12,0.31,0.05,0.06,0.11,0.05,0.11
4,Lydia Williams,GK,Arsenal,33,1988,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Laura Wienroither,DF,Arsenal,22,1999,8,3,364,4,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,10,22,34,0,0,0,0,0,0.08,0.13,0.21,0.08,0.21
6,Lia Wälti,MF,Arsenal,28,1993,20,18,"1,584",17.6,0,3,3,0,0,0,2,0,0.4,0.4,1,1.4,14,142,24,0,0.17,0.17,0,0.17,0.02,0.06,0.08,0.02,0.08
7,Viktoria Schnaderbeck,"DF,MF",Arsenal,30,1991,2,0,32,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,0,0,0,0,0,0,0,0.7,0,0.7,0.7,0.7
8,Rafaelle,DF,Arsenal,30,1991,6,4,399,4.4,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.3,2,16,3,0.23,0,0.23,0.23,0.23,0.06,0.02,0.07,0.06,0.07
9,Anna Patten,DF,Arsenal,22,1999,4,1,129,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,6,6,0,0,0,0,0,0.24,0,0.24,0.24,0.24
10,Nikita Parris,FW,Arsenal,27,1994,18,5,609,6.8,1,3,4,0,1,1,2,0,2.6,1.8,1.4,3.2,19,11,64,0.15,0.44,0.59,0,0.44,0.39,0.2,0.59,0.27,0.47
11,Jordan Nobbs,"MF,FW",Arsenal,28,1992,16,5,593,6.6,2,1,3,2,0,0,1,0,1.4,1.4,1.2,2.6,8,46,45,0.3,0.15,0.46,0.3,0.46,0.21,0.19,0.4,0.21,0.4
12,Vivianne Miedema,"FW,MF",Arsenal,25,1996,22,21,"1,731",19.2,14,8,22,14,0,0,3,0,9.8,9.8,4.3,14.1,66,105,156,0.73,0.42,1.14,0.73,1.14,0.51,0.22,0.73,0.51,0.73
13,Beth Mead,"FW,MF",Arsenal,26,1995,22,20,"1,722",19.1,11,8,19,11,0,0,1,0,5.6,5.6,6.8,12.5,51,104,248,0.57,0.42,0.99,0.57,0.99,0.29,0.36,0.65,0.29,0.65
14,Katie McCabe,"DF,FW",Arsenal,25,1995,20,16,"1,330",14.8,5,6,11,4,1,1,9,1,2.7,1.9,2.5,4.4,26,84,116,0.34,0.41,0.74,0.27,0.68,0.18,0.17,0.35,0.13,0.3
15,Noelle Maritz,DF,Arsenal,25,1995,19,19,"1,585",17.6,0,1,1,0,0,0,3,0,0.3,0.3,1.3,1.7,19,90,102,0,0.06,0.06,0,0.06,0.02,0.08,0.09,0.02,0.09
16,Frida Maanum,"MF,DF",Arsenal,22,1999,21,10,985,10.9,3,0,3,3,0,0,0,0,1.7,1.7,0.4,2.1,9,69,40,0.27,0,0.27,0.27,0.27,0.16,0.03,0.19,0.16,0.19
17,Kim Little,MF,Arsenal,31,1990,22,21,"1,786",19.8,6,0,6,5,1,1,0,0,2.3,1.5,2.8,4.3,38,112,84,0.3,0,0.3,0.25,0.25,0.12,0.14,0.26,0.08,0.22
18,Mana Iwabuchi,"MF,FW",Arsenal,28,1993,11,5,491,5.5,1,1,2,1,0,0,1,0,1.1,1.1,0.9,1.9,7,31,34,0.18,0.18,0.37,0.18,0.37,0.2,0.16,0.36,0.2,0.36
19,Halle Houssein,DF,Arsenal,16,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Alex Hennessy,"FW,DF",Arsenal,16,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Tobin Heath,"FW,MF",Arsenal,33,1988,9,3,295,3.3,2,1,3,2,0,0,0,0,1.6,1.6,0.3,1.8,7,15,29,0.61,0.31,0.92,0.61,0.92,0.49,0.08,0.56,0.49,0.56
22,Teyah Goldie,DF,Arsenal,17,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Caitlin Foord,"FW,MF",Arsenal,26,1994,16,9,795,8.8,4,3,7,4,0,0,2,0,3.7,3.7,1.7,5.4,25,33,122,0.45,0.34,0.79,0.45,0.79,0.42,0.19,0.61,0.42,0.61
24,Steph Catley,DF,Arsenal,27,1994,18,14,"1,291",14.3,1,4,5,1,0,0,0,0,0.8,0.8,2.2,3,28,100,96,0.07,0.28,0.35,0.07,0.35,0.06,0.15,0.21,0.06,0.21
25,Simone Boye Sørensen,DF,Arsenal,29,1992,5,2,161,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,11,0,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09
26,Stina Blackstenius,FW,Arsenal,25,1996,11,7,631,7,6,1,7,6,0,0,0,0,2.9,2.9,1.2,4.2,8,15,48,0.86,0.14,1,0.86,1,0.42,0.18,0.6,0.42,0.6
27,Jennifer Beattie,"DF,MF",Arsenal,30,1991,9,7,586,6.5,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.7,1,31,0,0.15,0,0.15,0.15,0.15,0.1,0.01,0.11,0.1,0.11
28,Jill Scott,MF,Aston Villa,34,1987,7,6,515,5.7,0,1,1,0,0,0,0,0,0.7,0.7,0.3,1,9,28,18,0,0.17,0.17,0,0.17,0.12,0.05,0.17,0.12,0.17
29,Meaghan Sargeant,DF,Aston Villa,27,1994,12,10,818,9.1,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,15,1,0,0,0,0,0,0.07,0.01,0.08,0.07,0.08
30,Sian Rogers,GK,Aston Villa,23,1998,3,2,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Ramona Petzelberger,"FW,MF",Aston Villa,28,1992,19,18,"1,655",18.4,3,1,4,3,0,0,1,0,1.9,1.9,1.3,3.2,13,45,71,0.16,0.05,0.22,0.16,0.22,0.1,0.07,0.17,0.1,0.17
32,Anna Patten,DF,Aston Villa,22,1999,7,7,630,7,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,4,15,2,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09
33,Mayumi Pacheco,DF,Aston Villa,22,1998,22,22,"1,980",22,0,0,0,0,0,0,3,0,0.3,0.3,1.5,1.7,26,69,55,0,0,0,0,0,0.01,0.07,0.08,0.01,0.08
34,Elisha N'Dow,DF,Aston Villa,24,1996,7,5,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
35,Olivia McLoughlin,"MF,DF",Aston Villa,16,2004,11,3,450,5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,7,5,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
36,Sarah Mayling,DF,Aston Villa,24,1997,21,21,"1,874",20.8,1,1,2,1,0,0,2,0,0.4,0.4,0.8,1.3,26,123,49,0.05,0.05,0.1,0.05,0.1,0.02,0.04,0.06,0.02,0.06
37,Ruesha Littlejohn,MF,Aston Villa,31,1990,17,11,995,11.1,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,5,28,5,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02
38,Alisha Lehmann,FW,Aston Villa,22,1999,21,21,"1,703",18.9,2,2,4,1,1,1,1,0,2.8,2,0.9,2.9,52,40,130,0.11,0.11,0.21,0.05,0.16,0.15,0.05,0.19,0.1,0.15
39,Jodie Hutton,"FW,MF",Aston Villa,20,2001,4,1,101,1.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,4,7,0,0,0,0,0,0,0.08,0.08,0,0.08
40,Shania Hayles,FW,Aston Villa,21,1999,13,3,420,4.7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,5,5,19,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09
41,Hannah Hampton,GK,Aston Villa,20,2000,20,20,"1,773",19.7,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0
42,Natalie Haigh,MF,Aston Villa,21,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Freya Gregory,FW,Aston Villa,18,2003,3,1,108,1.2,0,1,1,0,0,0,0,0,0,0,0.3,0.3,4,2,10,0,0.83,0.83,0,0.83,0,0.22,0.22,0,0.22
44,Emily Gielnik,FW,Aston Villa,29,1992,15,13,"1,076",12,2,0,2,2,0,0,0,0,2,2,0.4,2.3,7,16,52,0.17,0,0.17,0.17,0.17,0.16,0.03,0.2,0.16,0.2
45,Marisa Ewers,MF,Aston Villa,32,1989,5,3,216,2.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0,7,2,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03
46,Gemma Davison,"FW,MF",Aston Villa,34,1987,3,0,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0,2,4,0,0,0,0,0,0.17,0.04,0.21,0.17,0.21
47,Rachel Corsie,"DF,MF",Aston Villa,31,1989,6,5,479,5.3,0,1,1,0,0,0,1,0,0.4,0.4,0.2,0.6,5,20,2,0,0.19,0.19,0,0.19,0.08,0.04,0.12,0.08,0.12
48,Chantelle Boye-Hlorkah,"FW,MF",Aston Villa,25,1995,18,11,996,11.1,0,0,0,0,0,0,1,0,0.8,0.8,0.5,1.2,23,22,75,0,0,0,0,0,0.07,0.04,0.11,0.07,0.11
49,Laura Blindkilde,MF,Aston Villa,17,2003,11,7,666,7.4,0,1,1,0,0,0,0,0,0.1,0.1,1.1,1.2,9,26,31,0,0.14,0.14,0,0.14,0.01,0.15,0.16,0.01,0.16
50,Anita Asante,DF,Aston Villa,36,1985,21,21,"1,889",21,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.3,8,46,1,0.05,0,0.05,0.05,0.05,0.01,0,0.01,0.01,0.01
51,Chloe Arthur,"MF,FW",Aston Villa,26,1995,17,12,973,10.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.5,6,23,18,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
52,Remi Allen,MF,Aston Villa,30,1990,19,19,"1,694",18.8,3,0,3,3,0,0,2,0,2.2,2.2,0.4,2.6,0,54,29,0.16,0,0.16,0.16,0.16,0.12,0.02,0.14,0.12,0.14
53,Louanne Worsley,"FW,MF",Birmingham City,,,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,Lucy Whipp,"MF,FW",Birmingham City,25,1995,11,4,532,5.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,2,6,5,0,0,0,0,0,0.03,0.07,0.1,0.03,0.1
55,Emily Whelan,"FW,MF",Birmingham City,18,2002,19,3,496,5.5,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,6,7,16,0,0,0,0,0,0.04,0.08,0.11,0.04,0.11
56,Arabella Suttie,DF,Birmingham City,,,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Libby Smith,"FW,DF",Birmingham City,19,2001,20,14,"1,230",13.7,2,1,3,2,0,0,2,0,1.7,1.7,0.4,2.1,12,23,48,0.15,0.07,0.22,0.15,0.22,0.13,0.03,0.16,0.13,0.16
58,Harriet Scott,DF,Birmingham City,28,1993,20,20,"1,722",19.1,0,0,0,0,0,0,2,0,0.7,0.7,0,0.7,4,26,7,0,0,0,0,0,0.04,0,0.04,0.04,0.04
59,Veatriki Sarri,"MF,FW",Birmingham City,23,1998,21,19,"1,649",18.3,3,2,5,3,0,0,2,0,1.5,1.5,1.9,3.4,27,31,47,0.16,0.11,0.27,0.16,0.27,0.08,0.1,0.19,0.08,0.19
60,Cecilie Sandvej,DF,Birmingham City,31,1990,5,5,421,4.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,0.03,0.03,0,0.03
61,Eleanor Ryan-Doyle,FW,Birmingham City,23,1998,12,3,335,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,4,13,0,0,0,0,0,0.04,0,0.04,0.04,0.04
62,Lisa Robertson,"MF,DF",Birmingham City,29,1992,16,16,"1,177",13.1,0,0,0,0,0,0,6,0,0.2,0.2,0.5,0.7,7,23,12,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05
63,Emily Ramsey,GK,Birmingham City,20,2000,15,15,"1,285",14.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Lucy Quinn,"FW,MF",Birmingham City,27,1993,22,19,"1,668",18.5,1,3,4,1,0,0,1,0,1.5,1.5,0.6,2.1,22,33,47,0.05,0.16,0.22,0.05,0.22,0.08,0.03,0.11,0.08,0.11
65,Louise Quinn,DF,Birmingham City,31,1990,22,22,"1,980",22,5,0,5,5,0,0,0,0,2.4,2.4,0.1,2.5,4,21,0,0.23,0,0.23,0.23,0.23,0.11,0,0.11,0.11,0.11
66,Jade Pennock,"FW,MF",Birmingham City,28,1993,19,17,"1,417",15.7,2,1,3,2,0,0,0,0,1.5,1.5,0.1,1.6,13,16,46,0.13,0.06,0.19,0.13,0.19,0.1,0.01,0.1,0.1,0.1
67,Christie Murray,MF,Birmingham City,31,1990,17,17,"1,517",16.9,1,0,1,0,1,1,0,0,1,0.2,0.3,0.5,5,47,7,0.06,0,0.06,0,0,0.06,0.02,0.07,0.01,0.03
68,Gemma Lawley,DF,Birmingham City,20,2001,19,18,"1,618",18,1,0,1,1,0,0,2,0,0.8,0.8,0,0.9,1,20,4,0.06,0,0.06,0.06,0.06,0.05,0,0.05,0.05,0.05
69,Lucy Jones,GK,Birmingham City,,,1,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Marie Hourihan,GK,Birmingham City,34,1987,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Rebecca Holloway,"DF,MF",Birmingham City,25,1995,17,16,"1,467",16.3,0,1,1,0,0,0,1,0,0.5,0.5,1.3,1.8,20,30,19,0,0.06,0.06,0,0.06,0.03,0.08,0.11,0.03,0.11
72,Jamie Finn,"DF,MF",Birmingham City,23,1998,20,18,"1,650",18.3,0,1,1,0,0,0,1,0,0,0,0.6,0.6,11,26,28,0,0.05,0.05,0,0.05,0,0.03,0.03,0,0.03
73,Sarah Ewens,"FW,MF",Birmingham City,29,1992,11,4,380,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,3,14,0,0,0,0,0,0.04,0.02,0.07,0.04,0.07
74,Abbie Cowie,DF,Birmingham City,,,7,5,446,5,0,0,0,0,0,0,1,0,0,0,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0
75,Julia Zigiotti Olme,"MF,FW",Brighton,23,1997,11,6,565,6.3,2,0,2,2,0,0,0,0,1.1,1.1,0.2,1.3,5,19,13,0.32,0,0.32,0.32,0.32,0.18,0.03,0.21,0.18,0.21
76,Victoria Williams,DF,Brighton,31,1990,21,21,"1,801",20,2,1,3,2,0,0,3,0,1.3,1.3,0,1.3,2,47,6,0.1,0.05,0.15,0.1,0.15,0.07,0,0.07,0.07,0.07
77,Aileen Whelan,"MF,FW",Brighton,29,1991,22,18,"1,704",18.9,4,1,5,4,0,0,2,0,1.6,1.6,0.3,1.9,8,55,45,0.21,0.05,0.26,0.21,0.26,0.09,0.02,0.1,0.09,0.1
78,Megan Walsh,GK,Brighton,26,1994,20,20,"1,800",20,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
79,Maisie Symonds,FW,Brighton,18,2003,16,1,373,4.1,1,2,3,1,0,0,2,0,0.6,0.6,0.8,1.4,3,22,26,0.24,0.48,0.72,0.24,0.72,0.15,0.19,0.35,0.15,0.35
80,Katie Startup,GK,Brighton,22,1999,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Emily Simpkins,MF,Brighton,31,1990,12,6,484,5.4,0,1,1,0,0,0,2,0,0.2,0.2,0,0.2,3,12,7,0,0.19,0.19,0,0.19,0.03,0.01,0.04,0.03,0.04
82,Katie Robinson,"FW,MF",Brighton,18,2002,6,1,122,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,1,13,0,0,0,0,0,0.07,0.08,0.16,0.07,0.16
83,Maya Le Tissier,DF,Brighton,19,2002,22,22,"1,980",22,1,0,1,1,0,0,3,0,0.8,0.8,1,1.8,23,95,23,0.05,0,0.05,0.05,0.05,0.04,0.04,0.08,0.04,0.08
84,Emma Kullberg,DF,Brighton,29,1991,13,11,984,10.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,11,34,16,0,0,0,0,0,0.03,0.04,0.06,0.03,0.06
85,Emma Koivisto,"DF,MF",Brighton,26,1994,22,21,"1,909",21.2,3,0,3,3,0,0,1,0,1.3,1.3,0.4,1.7,17,45,71,0.14,0,0.14,0.14,0.14,0.06,0.02,0.08,0.06,0.08
86,Danique Kerkdijk,DF,Brighton,25,1996,20,17,"1,347",15,0,0,0,0,0,0,1,0,0,0,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0
87,Inessa Kaagman,"MF,FW",Brighton,25,1996,20,17,"1,484",16.5,4,3,7,1,3,3,2,0,3.3,0.9,1.8,2.7,8,45,62,0.24,0.18,0.42,0.06,0.24,0.2,0.11,0.31,0.06,0.17
88,Kayleigh Green,"MF,FW",Brighton,33,1988,18,9,914,10.2,3,1,4,3,0,0,2,0,1.7,1.7,0.4,2.2,14,13,72,0.3,0.1,0.39,0.3,0.39,0.17,0.04,0.21,0.17,0.21
89,Felicity Gibbons,DF,Brighton,27,1994,15,10,856,9.5,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,8,31,33,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
90,Lee Geum-min,"FW,MF",Brighton,27,1994,16,13,"1,128",12.5,2,1,3,2,0,0,0,0,1,1,1.3,2.3,14,40,77,0.16,0.08,0.24,0.16,0.24,0.08,0.1,0.18,0.08,0.18
91,Megan Connolly,MF,Brighton,24,1997,20,16,"1,448",16.1,0,2,2,0,0,0,1,0,0.5,0.5,1.9,2.3,3,54,26,0,0.12,0.12,0,0.12,0.03,0.12,0.15,0.03,0.15
92,Danielle Carter,"FW,MF",Brighton,28,1993,21,17,"1,440",16,2,1,3,2,0,0,2,0,2,2,0.6,2.6,25,38,72,0.12,0.06,0.19,0.12,0.19,0.12,0.04,0.16,0.12,0.16
93,Danielle Buet,DF,Brighton,32,1988,2,0,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Ellie Brazil,"FW,MF",Brighton,22,1999,19,12,979,10.9,0,1,1,0,0,0,1,0,1,1,0.8,1.8,18,26,46,0,0.09,0.09,0,0.09,0.1,0.07,0.17,0.1,0.17
